dept_id,dept_name,dept_category,division,dept_type,dept_age_years,location_type,team_size,reporting_structure,manager_experience_level,supervisor_experience_level,primary_function,secondary_function,creation_reason,oversight_body,reporting_lag_days,training_hours_quarterly,violations_past_3years,remediation_plan_active,executive_support,external_consulting,engagement_programs,onboarding_program,improvement_commitment,digital_systems,external_partnerships,interdept_collaboration_score,resource_availability_score,external_interactions_frequency,risk_exposure_operational,risk_exposure_financial,operational_health_index,reporting_gaps_annual,audit_score_q1,audit_score_q2,compliance_score_final,overall_risk_score,is_high_risk
DEPT-1620,Core Compliance,Financial_Reporting,Corporate_HQ,Operations,8.0,Remote,Large,Centralized,2.0,2.0,Other,Other,Restructuring,Internal_Audit,1.0,40.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,3.0,1.0,2.0,5.0,2.0,55.0,55.0,65.0,12.0,0.0
DEPT-1133,Digital Governance,Financial_Reporting,Corporate_HQ,Compliance,8.0,Urban,Large,Centralized,2.0,2.0,Other,Administrative,Regulation,Unknown,1.0,20.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,3.0,2.0,2.0,1.0,26.0,60.0,40.0,65.0,43.0,1.0
DEPT-4917,Central Hub,Operational_Compliance,Unknown,Unknown,7.0,Unknown,Unknown,Unknown,3.0,2.0,Unknown,Unknown,Unknown,Unknown,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0
DEPT-6959,Compliance - Legacy Region,Financial_Reporting,Corporate_HQ,Support,8.0,Urban,Large,Centralized,4.0,3.0,Other,Other,Regulation,Internal_Audit,1.0,60.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,5.0,2.0,70.0,75.0,85.0,11.0,0.0
DEPT-4312,West Internal Controls,Financial_Reporting,Corporate_HQ,Operations,6.0,Urban,Small,Centralized,1.0,2.0,Other,Other,Restructuring,Internal_Audit,2.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,2.0,1.0,1.0,5.0,2.0,45.0,45.0,45.0,11.0,1.0
DEPT-3347,Business Integrity - Central Region,Financial_Reporting,Corporate_HQ,Operations,6.0,Urban,Small,Centralized,2.0,1.0,Administrative,Other,Regulation,Unknown,1.0,20.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,4.0,3.0,5.0,5.0,6.0,45.0,50.0,50.0,53.0,1.0
DEPT-2437,Tactical Ethics and Compliance,Operational_Compliance,Unknown,Unknown,7.0,Unknown,Unknown,Unknown,3.0,2.0,Unknown,Unknown,Unknown,Unknown,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0
DEPT-7949,Internal Controls - Tactical Region,Financial_Reporting,Corporate_HQ,Support,5.0,Urban,Large,Centralized,1.0,1.0,Unknown,Other,Restructuring,External_Auditor,1.0,40.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,65.0,60.0,60.0,26.0,0.0
DEPT-2554,Central Team,Financial_Reporting,Corporate_HQ,Support,5.0,Urban,Small,Autonomous,3.0,3.0,Other,Unknown,Merger,Internal_Audit,1.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,3.0,4.0,4.0,4.0,1.0,0.0,65.0,60.0,65.0,40.0,1.0
DEPT-3264,Premier Hub,Operational_Compliance,Unknown,Unknown,7.0,Unknown,Unknown,Unknown,3.0,2.0,Unknown,Unknown,Unknown,Unknown,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0
